index,label,description,units,sql_datatype,type,hidden
61,UGADINV03DC2A,DC Current Input 2,I,REAL,number,FALSE
62,UGADINV03DC2V,DC Voltage Input 2,V,REAL,number,FALSE
63,UGADINV03DC2W,DC Power Input 2,W,REAL,number,FALSE
64,UGADINV03ERR,Error Code,,REAL,number,FALSE
65,UGADINV04INVSTATUS,Device Status,,REAL,number,FALSE
66,UGADINV04ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
67,UGADINV04ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
68,UGADINV04DC1A,DC Current Input 1,A,REAL,number,FALSE
69,UGADINV04DC1V,DC Voltage Input 1,V,REAL,number,FALSE
70,UGADINV04DC1W,DC Power Input 1,W,REAL,number,FALSE
71,UGADINV04ACW,Active Power Across all lines,W,REAL,number,FALSE
72,UGADINV04ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
73,UGADINV04ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
74,UGADINV04ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
75,UGADINV04ACL1A,Grid Current L1,A,REAL,number,FALSE
76,UGADINV04ACL2A,Grid Current L2,A,REAL,number,FALSE
77,UGADINV04ACL3A,Grid Current L3,A,REAL,number,FALSE
78,UGADINV04ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
79,UGADINV04DC2A,DC Current Input 2,I,REAL,number,FALSE
80,UGADINV04DC2V,DC Voltage Input 2,V,REAL,number,FALSE
81,UGADINV04DC2W,DC Power Input 2,W,REAL,number,FALSE
82,UGADINV04ERR,Error Code,,REAL,number,FALSE
83,UGADINV05INVSTATUS,Device Status,,REAL,number,FALSE
84,UGADINV05ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
85,UGADINV05ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
86,UGADINV05DC1A,DC Current Input 1,A,REAL,number,FALSE
87,UGADINV05DC1V,DC Voltage Input 1,V,REAL,number,FALSE
88,UGADINV05DC1W,DC Power Input 1,W,REAL,number,FALSE
89,UGADINV05ACW,Active Power Across all lines,W,REAL,number,FALSE
90,UGADINV05ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
91,UGADINV05ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
92,UGADINV05ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
93,UGADINV05ACL1A,Grid Current L1,A,REAL,number,FALSE
94,UGADINV05ACL2A,Grid Current L2,A,REAL,number,FALSE
95,UGADINV05ACL3A,Grid Current L3,A,REAL,number,FALSE
96,UGADINV05ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
97,UGADINV05DC2A,DC Current Input 2,I,REAL,number,FALSE
98,UGADINV05DC2V,DC Voltage Input 2,V,REAL,number,FALSE
99,UGADINV05DC2W,DC Power Input 2,W,REAL,number,FALSE
100,UGADINV05ERR,Error Code,,REAL,number,FALSE
101,UGADINV06INVSTATUS,Device Status,,REAL,number,FALSE
102,UGADINV06ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
103,UGADINV06ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
104,UGADINV06DC1A,DC Current Input 1,A,REAL,number,FALSE
105,UGADINV06DC1V,DC Voltage Input 1,V,REAL,number,FALSE
106,UGADINV06DC1W,DC Power Input 1,W,REAL,number,FALSE
107,UGADINV06ACW,Active Power Across all lines,W,REAL,number,FALSE
108,UGADINV06ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
109,UGADINV06ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
110,UGADINV06ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
111,UGADINV06ACL1A,Grid Current L1,A,REAL,number,FALSE
112,UGADINV06ACL2A,Grid Current L2,A,REAL,number,FALSE
113,UGADINV06ACL3A,Grid Current L3,A,REAL,number,FALSE
114,UGADINV06ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
115,UGADINV06DC2A,DC Current Input 2,I,REAL,number,FALSE
116,UGADINV06DC2V,DC Voltage Input 2,V,REAL,number,FALSE
117,UGADINV06DC2W,DC Power Input 2,W,REAL,number,FALSE
118,UGADINV06ERR,Error Code,,REAL,number,FALSE
119,UGADINV07INVSTATUS,Device Status,,REAL,number,FALSE
120,UGADINV07ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
121,UGADINV07ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
122,UGADINV07DC1A,DC Current Input 1,A,REAL,number,FALSE
123,UGADINV07DC1V,DC Voltage Input 1,V,REAL,number,FALSE
124,UGADINV07DC1W,DC Power Input 1,W,REAL,number,FALSE
125,UGADINV07ACW,Active Power Across all lines,W,REAL,number,FALSE
126,UGADINV07ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
127,UGADINV07ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
128,UGADINV07ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
129,UGADINV07ACL1A,Grid Current L1,A,REAL,number,FALSE
130,UGADINV07ACL2A,Grid Current L2,A,REAL,number,FALSE
131,UGADINV07ACL3A,Grid Current L3,A,REAL,number,FALSE
132,UGADINV07ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
133,UGADINV07DC2A,DC Current Input 2,I,REAL,number,FALSE
134,UGADINV07DC2V,DC Voltage Input 2,V,REAL,number,FALSE
135,UGADINV07DC2W,DC Power Input 2,W,REAL,number,FALSE
136,UGADINV07ERR,Error Code,,REAL,number,FALSE
137,UGADINV08INVSTATUS,Device Status,,REAL,number,FALSE
138,UGADINV08ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
139,UGADINV08ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
140,UGADINV08DC1A,DC Current Input 1,A,REAL,number,FALSE
141,UGADINV08DC1V,DC Voltage Input 1,V,REAL,number,FALSE
142,UGADINV08DC1W,DC Power Input 1,W,REAL,number,FALSE
143,UGADINV08ACW,Active Power Across all lines,W,REAL,number,FALSE
144,UGADINV08ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
145,UGADINV08ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
146,UGADINV08ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
147,UGADINV08ACL1A,Grid Current L1,A,REAL,number,FALSE
148,UGADINV08ACL2A,Grid Current L2,A,REAL,number,FALSE
149,UGADINV08ACL3A,Grid Current L3,A,REAL,number,FALSE
150,UGADINV08ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
151,UGADINV08DC2A,DC Current Input 2,I,REAL,number,FALSE
152,UGADINV08DC2V,DC Voltage Input 2,V,REAL,number,FALSE
153,UGADINV08DC2W,DC Power Input 2,W,REAL,number,FALSE
154,UGADINV08ERR,Error Code,,REAL,number,FALSE
155,UGADPOAREFTEMP,Reference Cell REF01: Temperature Value - from Logger,ºC,REAL,number,FALSE
156,UGADMOD1TEMP,Temperature Transmitter TEMOD01: Module Temperature Value - from Logger,ºC,REAL,number,FALSE
157,UGADMOD2TEMP,Temperature Transmitter TEMOD02: Module Temperature Value - from Logger,ºC,REAL,number,FALSE
158,UGADSMSREFIRR,Irradiance,w/m2,REAL,number,FALSE
159,UGADSMSREFSCA,Short Circuit Current,A,REAL,number,FALSE
160,UGADSMSREFT,PV Temperature,C,REAL,number,FALSE
161,UGADSMSMODIRR,Irradiance 2,w/m2,REAL,number,FALSE
162,UGADSMSMODSCA,Short Circuit Current 2,A,REAL,number,FALSE
163,UGADSMSMODT,PV Temperature 2,C,REAL,number,FALSE
164,UGADSMSMODMPPW,Maximum Power 2,W,REAL,number,FALSE
165,UGADSMSSOILRATIO,Soiling Ratio,,REAL,number,FALSE
166,UGADSMSSOILSCRATIO,Short Circuit Ratio,,REAL,number,FALSE
167,UGADSMSPWRRATIO,Maximum Power Ratio,,REAL,number,FALSE
168,UGADMET02EVENT,Event Code,,REAL,number,FALSE
169,UGADSMSFLUIDLVL,Wash Unit Fluid Level,,REAL,number,FALSE
170,UGADSMSMODOCV,Voc OpenCircuit Voltage,V,REAL,number,FALSE
171,UGADSMSMODMPPV,Vmp MaxPower Voltage,V,REAL,number,FALSE
172,UGADSMSMODMPPA,Imp MaxPower Current (A),A,REAL,number,FALSE
